specimen_id	Monocytes	Classical_Monocytes	Non-Classical_Monocytes	Intermediate_Monocytes	Bcells	CD3CD19neg	CD3 Tcells	CD4Tcells	CD8Tcells	TemraCD4	NaiveCD4	TemCD4	TcmCD4	TemraCD8	NaiveCD8	TemCD8	TcmCD8	NK	Basophils	pDC	B cells (CD19+CD3-CD14-CD56-)	B cells (CD19+CD20+CD3-CD14-CD56-)	Memory B cells	Naive B cells	Proliferating B cells	Activated B cells (ABCs)	CD56+CD3+T cells	CD4+CD8+ T cells	CD4-CD8- T cells	NK cells (CD3-CD19-CD56+)	CD3-CD19-CD56- cells	non-pDCs	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	Conventional dendritic cells (cDCs)	cDC1	cDC2	Activated granulocytes	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	CD56high NK cells
223	16.09476484	15.12965332	0.488212412	0	7.494916267	9.288509458	65.44889144	14.99940533	18.5132003	0.0565665	7.099821018	2.087738993	5.59602236	3.947181393	9.146367996	4.043779571	1.267959864	5.036159048	0.790190499	0.382041441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
224	25.08320864	24.10430133	0.480794793	0.832921911	5.175721762	8.789050335	58.77484676	19.3439012	16.87809991	0.649566677	8.894323887	3.019968555	6.60382661	3.475394396	8.286836249	3.781188999	1.311741875	4.146532277	1.272245304	0.293186082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
225	22.36751549	20.50518228	1.027210814	1.862333207	8.115112179	12.54635289	53.39030929	20.59469636	18.31003277	0.598863905	9.216722405	3.435139708	7.275587455	5.042137655	8.968430877	3.096306884	1.036015479	6.541131722	0.547650109	0.507442142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
226	15.94548646	15.1496812	0.633706082	0.527481524	4.690705728	11.19501372	64.98004837	18.85686806	17.63114213	0.662961782	9.602524277	1.921333558	6.484971611	3.707437979	9.404765791	3.45342819	1.000595159	5.354546436	0.989169113	0.452144958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
227	21.43391614	20.6030523	0.988479775	0.253185657	6.140168914	11.45040006	58.05693436	22.71632834	17.02826345	0.566935842	10.76122389	3.38087124	7.95099274	3.640539339	9.344717736	2.830048896	1.037746333	5.497110683	0.628241221	0.603793155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
281	11.2437986	11.2437986	0.550932631	0.524067847	9.686322961	12.39366591	63.85186458	34.31805723	21.0442628	0.381152649	21.39718697	4.880799452	7.617734576	2.63383981	13.0564215	4.405006396	0.755077717	6.224720511	0.702439104	0.426972789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
282	17.44674996	16.71763962	0.662849529	0.736834737	10.91432682	12.10388344	57.50038622	30.55202862	19.36324444	0.047191217	20.7572561	3.823454156	5.924127144	2.273385602	12.73028349	3.398129731	0.899650471	6.386021744	0.997050247	0.463946393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
283	17.65820505	16.45599964	1.788370891	1.202205408	8.624679422	17.41920951	54.27511712	29.32068167	17.79360374	0.626520073	18.81788756	3.711779083	5.993198746	2.603172232	11.01897148	3.550963029	0.565205188	7.244793354	0.964173556	0.432818039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
284	11.37896755	10.7656986	1.109257024	0.613268953	7.994863784	17.28561623	61.31233875	31.72867997	20.95292196	0.349120689	19.17619352	5.022840777	7.031764065	2.750715993	12.20620606	5.269947218	0.638003266	9.414897394	1.139790291	0.39787924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
285	19.8894206	18.85601251	0.636601493	1.033408088	12.68609769	14.98428567	50.69648441	25.0036851	18.44170168	0.233214357	15.87476442	2.999147162	5.624914453	1.924150057	10.24024237	5.234820009	0.981948261	4.487797046	0.793086747	0.244796109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
342	23.10327618	22.5185887	1.100856899	0.584687481	15.09123053	12.66501434	42.90516592	22.28850335	13.87922211	0.523105814	7.351903703	8.073119771	6.180160214	2.691998613	6.940118595	3.489176684	0.561171405	5.689706218	0	0.539685494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
343	35.24105362	33.79091151	1.797176123	1.450142114	13.09928373	13.16389006	37.51707667	23.72412496	11.65434213	0.679266568	10.88106634	5.804568848	6.069394801	2.465841652	6.560842963	2.09040486	0.503049299	3.887180944	0.868685131	0.563855258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
344	17.83941274	16.99042967	1.813480696	0.848983068	9.248751549	13.00627866	57.70331603	37.86271144	18.72914405	1.169217817	17.84761133	7.508935859	10.72817001	3.151198035	11.96175293	2.578397554	0.902212765	6.418644833	0.771647049	0.640224764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
345	21.42441344	21.17314939	1.035192421	0.251264047	8.836612688	15.61559048	53.28600829	34.06978212	16.38973101	1.028881843	10.89759606	11.08948915	10.68033186	3.540234444	8.527651924	3.376416982	0.898291508	9.043187538	1.127661712	0.303036547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
346	24.40373823	23.36634584	1.105655121	1.037392389	10.27800406	19.81152949	43.28146371	25.02174853	14.79289866	0.952283973	10.95497425	6.651530694	6.380994046	4.571465926	6.446993925	3.3986795	0.375759313	9.43886274	0.771758589	0.694067302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
349	13.52458485	13.55053485	0.589806469	0.200000371	9.614475652	27.30607471	43.84512298	22.14721436	19.0927138	0.303058949	11.40484042	5.249499999	5.027627484	3.49917238	11.86990152	2.786474118	0.805747555	22.46213617	0.69916719	0.210195014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
350	13.54508691	13.02992961	0.358164494	0.7671347	12.01555097	23.0640578	43.26485081	20.9101796	20.18785491	0.246297258	12.06903897	4.030849481	3.992508524	3.133229303	12.63594867	3.375739799	1.042937138	19.46505687	0.510423849	0.429481829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
351	11.60448996	11.06861356	0.506350593	0.860999635	12.1042227	29.62812757	35.27078048	19.79331936	13.17835114	0.323426351	11.77214223	3.907757311	3.548187302	3.387152881	7.152880887	1.785123406	0.720836904	25.07046316	0.630732291	0.553693695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
352	19.52584624	18.90953937	0.617910587	0.616306874	14.2063305	15.86007926	45.41907424	20.77096895	19.18778356	0.353618698	10.54794059	4.975679694	4.890041424	2.640192574	12.34313683	2.856052332	1.214652163	11.91943588	0.915559704	0.208161937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
353	13.31339742	12.94886687	0.307688506	0.663569187	12.7820478	25.9687863	38.18323736	19.47973045	13.96996433	0.270617601	9.931707156	4.981093839	4.114664426	2.743452866	7.599741327	2.670546755	0.8522189	20.18201814	1.117687764	0.299450527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
355	25.50478252	24.2718006	1.861865531	1.232981917	16.11167353	15.77201005	41.66951756	26.22250925	15.14015918	0.287474691	11.6445577	5.414019409	8.825665014	1.505620331	8.318438875	4.081896251	1.234203728	6.621517838	1.325141381	1.067862878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
356	30.01879344	27.86979808	2.33537911	3.537569816	11.51066977	18.38671062	37.4902699	21.15610647	14.04468248	0.212744183	10.67085746	2.847236652	7.146622919	1.024180268	9.565890223	1.769250092	1.635587202	7.381540876	2.396163162	0.85997029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
357	13.74365552	12.23952687	1.162578073	1.853907783	10.14176635	14.16383456	59.38630611	32.28286396	25.95092121	0.123820246	15.99684441	2.35114795	13.5660231	0.723721504	18.52523295	2.238037893	4.192125137	7.579026836	1.692079423	0.532244203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
358	16.34777814	15.36477874	1.248678432	0.982999403	10.75863522	13.54481887	57.66210257	30.88417929	23.32162508	0.709647803	12.25062518	3.90247772	13.4580798	1.003546288	15.80809729	2.302421541	4.111717837	7.398569261	2.210610776	0.453591999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
359	22.05854203	21.4424688	1.38606644	1.065640184	10.0833318	14.26880144	51.9021048	26.34457098	21.9215349	0.049034132	10.42158865	4.209068955	11.53652518	0.954461188	13.41175298	3.082988303	3.860454628	4.787383282	4.431164731	0.435407364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
360	10.12923967	9.831072287	0.284081625	0.298167386	7.351865687	14.78587953	65.14585524	37.17175951	23.80944332	0.280362984	22.95618427	4.27993027	9.138503596	0.791619761	19.00800184	2.688239291	1.164159965	8.73610158	2.068127754	0.865767206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
361	8.663055627	8.481471928	0.197518127	0.181583699	6.925744419	8.648152925	74.67984983	45.38514888	25.038833	0	33.16183762	1.997993867	9.934485427	0.423466025	21.89631158	1.771472788	0.94758261	5.157252171	0.901842776	1.082165477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
362	6.717597233	5.705608081	0.143279844	0.247729647	6.53970146	10.46093367	74.24996313	59.79465229	19.88489451	3.729490062	41.41329312	6.978571235	7.581490411	0.580042563	17.79228637	0.810915757	0.637535105	2.79275293	0.832588338	0.908141365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
363	8.148074724	7.944643713	0.166548335	0.203431011	7.383566002	9.036140412	73.40125124	41.46327408	26.67147678	0.14995113	28.68342677	2.918111238	9.264236713	0.558426769	22.00051636	2.651518644	1.180360897	5.240336739	1.426783277	0.50344853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
364	8.34345099	8.181344275	0.139685316	0.162106715	8.393338602	10.74399807	70.08536948	42.30413507	23.37621426	0.111658567	29.94927158	3.084848179	8.715534106	0.468495132	20.54607317	1.377010219	0.960308518	5.67978879	1.180822977	1.232728516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
369	14.95975072	14.95975072	2.57592811	0	16.75892721	20.36315693	47.66750943	33.68099782	12.38292833	3.641150972	12.85613359	6.904657571	9.990456687	1.501251362	7.502807421	2.384934085	0.993935461	12.61033259	0.292176144	0.369340285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
370	18.25265838	16.05493098	2.79150296	0.658637489	18.24649328	20.1822042	40.52251736	36.50274796	3.435369912	5.243797338	15.19734079	10.20117471	5.597648017	1.486172851	0.247631255	1.274247762	0.35590571	8.036327813	0.774875189	0.455317843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
